place_id,name,author_name,rating,sentence_text,sentence_sentiment,confidenceScores.positive,confidenceScores.neutral,confidenceScores.negative,entity_text,entity_category,entity_subcategory,confidenceScores.entity
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The food was good. ,positive,0.98,0.02,0.0,food,Product,,0.91
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The Pho broth was flavourful and a good size. ,positive,1.0,0.0,0.0,Pho broth,Product,,0.96
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The wonton soup was just ok. ,neutral,0.23,0.68,0.08,wonton soup,Product,,0.99
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,the wonton wrappers were a bit too dough-y and the broth tasted as if they blanched their shrimp in it. ,negative,0.0,0.0,0.99,wonton wrappers,Product,,0.76
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,the wonton wrappers were a bit too dough-y and the broth tasted as if they blanched their shrimp in it. ,negative,0.0,0.0,0.99,broth,Product,,0.89
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,the wonton wrappers were a bit too dough-y and the broth tasted as if they blanched their shrimp in it. ,negative,0.0,0.0,0.99,shrimp,Product,,0.94
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The vermicelli bowls were what we expected. ,neutral,0.27,0.71,0.02,vermicelli bowls,Product,,0.92
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The best dish at the table last night was the fried noodles.,positive,0.99,0.01,0.0,dish,Product,,0.5
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The best dish at the table last night was the fried noodles.,positive,0.99,0.01,0.0,table,Product,,0.52
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The best dish at the table last night was the fried noodles.,positive,0.99,0.01,0.0,last night,DateTime,DateTimeRange,0.99
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,M L,4,The best dish at the table last night was the fried noodles.,positive,0.99,0.01,0.0,fried noodles,Product,,0.99
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,waitress,PersonType,,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,mother in law,PersonType,,0.85
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,first,Quantity,Ordinal,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,Vietnamese,Location,CountryRegion,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,food,Product,,0.41
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"So good, in fact, I put the bowl up to my mouth, lol! ",positive,1.0,0.0,0.0,bowl,Product,,0.96
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,Service was great. ,positive,1.0,0.0,0.0,Service,Skill,,0.96
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"The prices are a bit high, but portions are big and for a single individual could make several meals, so overall good rating. ",positive,0.96,0.04,0.0,individual,PersonType,,0.5
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"The prices are a bit high, but portions are big and for a single individual could make several meals, so overall good rating. ",positive,0.96,0.04,0.0,meals,Product,,0.75
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"I ordered vegan fried rice and vegan mei fun, both are excellent! ",positive,1.0,0.0,0.0,vegan fried rice,Product,,0.95
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"I ordered vegan fried rice and vegan mei fun, both are excellent! ",positive,1.0,0.0,0.0,vegan mei fun,Product,,0.78
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,Pho with chicken was excellent.  ,positive,1.0,0.0,0.0,Pho,Product,,0.98
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,Pho with chicken was excellent.  ,positive,1.0,0.0,0.0,chicken,Product,,0.61
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,"Chicken pad thai was ok, not my favorite.  ",negative,0.02,0.05,0.93,Chicken pad thai,Product,,0.97
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,"Bubble teas were ok, we had thai, strawberry milk, and traditional milk . ",neutral,0.16,0.78,0.06,Bubble teas,Product,,0.91
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,"Bubble teas were ok, we had thai, strawberry milk, and traditional milk . ",neutral,0.16,0.78,0.06,thai,Product,,0.71
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,"Bubble teas were ok, we had thai, strawberry milk, and traditional milk . ",neutral,0.16,0.78,0.06,strawberry milk,Product,,0.93
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kristie Ray,4,"Bubble teas were ok, we had thai, strawberry milk, and traditional milk . ",neutral,0.16,0.78,0.06,traditional milk,Product,,0.68
